EdgeIdx,NodeR,NodeL,Ridx,Lidx,Ridx_orig,Lidx_orig,B,A,K,H,CC,actSign
105,53,384,53,81,1194,1379,0.199272,0.623062,-2.941423,4.6,0.984188,1
106,54,333,54,30,1195,1281,0.963122,1.422913,-6.212649,0.4,0.914549,1
107,54,334,54,31,1195,1282,0.98704,1.419752,-6.209464,0.4,0.920393,1
108,55,351,55,48,1204,1308,0.160019,0.380325,-2.837309,5.7,0.982162,1
109,56,307,56,4,1205,1069,0.289326,0.255664,-3.280349,1.1,0.453608,1
110,56,330,56,27,1205,1262,0.275534,0.349756,-5.535496,1.1,0.816366,1
111,56,361,56,58,1205,1325,0.304909,0.179599,-3.909618,6.6,0.953036,1
112,57,341,57,38,1206,1291,0.165056,-0.030164,-2.80944,9.9,0.642124,-1
113,57,344,57,41,1206,1295,0.367426,0.202731,-4.075395,2.9,0.877859,1
114,58,349,58,46,1207,1304,0.263105,-0.266098,-2.757526,0.4,0.932192,-1
115,59,340,59,37,1219,1290,0.277525,0.257554,-4.513982,9.6,0.711028,1
116,59,344,59,41,1219,1295,0.219952,0.113676,-4.20296,2.9,0.834288,1
117,59,356,59,53,1219,1315,0.171142,2.727299,-4.04229,1.6,0.930689,1
118,59,360,59,57,1219,1324,0.272041,2.179141,-3.554621,0.9,0.996643,1
119,59,385,59,82,1219,1388,0.422861,2.50361,-2.342104,0.8,0.960303,1
120,59,386,59,83,1219,1391,0.471676,3.926881,-2.979146,0.8,0.977159,1
121,60,350,60,47,1226,1307,0.141676,0.391259,-2.899663,5.3,0.955996,1
122,61,305,61,2,1227,1025,0.223214,0.509696,-2.5,9.9,0.971157,1
123,61,363,61,60,1227,1328,0.246525,0.692329,-2.253784,0.5,0.80686,1
124,62,344,62,41,1230,1295,0.27509,0.215823,-4.15604,2.2,0.929491,1
125,63,340,63,37,1231,1290,0.122682,92.632622,-2.641356,2,0.913431,1
126,64,339,64,36,1238,1289,0.999189,4.022264,-2.534466,1.4,0.912002,1
